N,Time
5000,0.01465946
10000,0.02933499
15000,0.04674885
20000,0.0635098
25000,0.07878779
30000,0.09304154
35000,0.11304777
40000,0.13760203
45000,0.14604417
50000,0.15956817
55000,0.17595609
60000,0.19178843
65000,0.2099899
70000,0.22616744
75000,0.24373702
80000,0.26781215
85000,0.27554029
90000,0.29474458
95000,0.31641986
100000,0.32550362
105000,0.34116274
110000,0.37008413
115000,0.38928745
120000,0.40639603
125000,0.43130071
130000,0.43773036
135000,0.45478714
140000,0.4876781
145000,0.49864656
150000,0.52755407
155000,0.53697939
160000,0.56537602
165000,0.57792036
170000,0.59334145
175000,0.61590615
180000,0.62450565
185000,0.65218976
190000,0.6871283
195000,0.70053367
200000,0.7311486
205000,0.75139408
210000,0.75445183
215000,0.78271254
220000,0.80607523
225000,0.81859168
230000,0.84745287
235000,0.85438798
240000,0.87769749
245000,0.92013471
250000,0.92209355
255000,0.93977543
260000,0.96981372
265000,1.10406947
270000,1.10323858
275000,1.10388154
280000,1.10638988
285000,1.11801982
290000,1.12183353
295000,1.13673518
300000,1.18334572
305000,1.20218115
310000,1.23869306
315000,1.29115564
320000,1.29643139
325000,1.310595
330000,1.33664495
335000,1.35953368
340000,1.37367083
345000,1.4035323
350000,1.39810092
355000,1.45069013
360000,1.47230241
365000,1.50067056
370000,1.50843832
375000,1.53525952
380000,1.56225978
385000,1.5628941
390000,1.60777167
395000,1.66157081
400000,1.61565314
405000,1.63613751
410000,1.62905075
415000,1.67865002
420000,1.70323774
425000,1.75799929
430000,1.75405569
435000,1.83133922
440000,1.8021667
445000,1.92861918
450000,1.89133976
455000,1.87423421
460000,1.9189626
465000,1.91938266
470000,1.96450886
475000,1.97015257
480000,2.03038134
485000,1.99891228
490000,2.0322826
495000,2.05699312
500000,2.09858195
505000,2.06225452
510000,2.17428341
515000,2.14076777
520000,2.14960525
525000,2.22936574
530000,2.25137081
535000,2.2303252
540000,2.29962675
545000,2.31477399
550000,2.30267055
555000,2.33766452
560000,2.37960057
565000,2.36071217
570000,2.42096939
575000,2.49073715
580000,2.44369243
585000,2.50085221
590000,2.49808924
595000,2.60554033
600000,2.53229539
605000,2.61787878
610000,2.66593263
615000,2.65099454
620000,2.64254281
625000,2.72609648
630000,2.69224551
635000,2.76362771
640000,2.78706126
645000,2.8078596
650000,2.81220543
655000,2.83614037
660000,2.86191128
665000,2.88246062
670000,2.92780452
675000,2.97436611
680000,2.93275417
685000,3.02433884
690000,2.9799968
695000,3.0593449
700000,3.03307684
705000,3.09600098
710000,3.17075593
715000,3.08087127
720000,3.11824055
725000,3.19648684
730000,3.16285588
735000,3.2165014
740000,3.27744341
745000,3.26284203
750000,3.23134128
